race_id,Track,Driver,Lap Time,Starting Position,finished,aero,Power,grip,reliability,pit time,overtaking,defending,consistency,fuel_mgt,tire_mgt,wet_ability,wet qualifying,win,wet race laps,setup_id,BOOST,pit stops
1206,Monaco,Magnussen,32.984,10,3,75,90,58,53,4.57,79,96,36,88,68,79,FALSE,No,FALSE,21,,1
1205,Monaco,Vettel,33.293,15,12,75,90,58,53,4.57,68,92,58,79,80,43,FALSE,No,FALSE,21,,1
1205,Monaco,Magnussen,33.233,14,3,75,90,58,53,4.57,79,96,36,88,68,79,FALSE,No,FALSE,21,,1
1204,Monaco,Leclerc,32.721,4,1,75,90,58,53,4.57,67,70,90,100,64,44,FALSE,Yes,FALSE,21,,1
1204,Monaco,Perez,32.8,8,6,75,90,58,53,4.57,57,64,93,58,95,95,FALSE,Yes,FALSE,21,,2
1203,Monaco,Leclerc,32.824,8,6,75,90,58,53,4.57,67,70,90,100,64,44,FALSE,Yes,FALSE,21,,1
1203,Monaco,Perez,32.775,5,1,75,90,58,53,4.57,57,64,93,58,95,95,FALSE,Yes,FALSE,21,,1
1202,Monaco,Perez,32.926,9,4,59,93,63,55,4.36,57,64,93,58,95,95,FALSE,Yes,FALSE,20,,2
1202,Monaco,Leclerc,32.752,7,2,59,93,63,55,4.36,67,70,90,100,64,44,FALSE,Yes,FALSE,20,,1
1201,Singapore,Perez,43.48,8,1,59,93,63,55,4.36,57,64,93,58,95,95,FALSE,Yes,TRUE,20,,2
1201,Singapore,Leclerc,43.45,7,4,59,93,63,55,4.36,67,70,90,100,64,44,FALSE,Yes,TRUE,20,,2
1200,Baku,Sainz,35.331,3,2,59,93,63,55,4.36,100,90,48,96,52,76,FALSE,No,FALSE,20,,3
1200,Baku,Leclerc,35.49,8,4,59,93,63,55,4.36,67,70,90,100,64,44,FALSE,No,FALSE,20,,2
1199,Monaco,Sainz,32.777,6,4,57,84,77,48,4.71,100,90,48,96,52,76,FALSE,Yes,FALSE,19,,1
1199,Monaco,Leclerc,32.862,8,6,57,84,77,48,4.71,67,70,90,100,64,44,FALSE,Yes,FALSE,19,,1
